Learning Rate: 0.001
Batch Size: 64
Number of Epochs: 500
Model Name: my_cool_model
Data Path: /home/mkhokhlo/projects/kotelnikov/data_lstm_august24_PDET_left_right.csv
Feature_names: ['ampl', 'BandwidthesHz', 'Bottom', 'flash_periods', 'flash_seconds', 'frac_band', 'freq', 'left', 'phase', 'Psi0', 'right', 'timeSignal', 'top', 'time_sincelast']
Starting to train for the first pair 0_1, results are saved /home/mkhokhlo/projects/kotelnikov/scripts/scripts/results/0_1
verification Left,  ampl
verification Left,  BandwidthesHz
(21600, 2)
(21600,)
Epoch 1, Loss: 0.5004, Accuracy: 0.7860
Epoch 2, Loss: 0.4114, Accuracy: 0.8043
Epoch 3, Loss: 0.3931, Accuracy: 0.8063
Epoch 4, Loss: 0.3913, Accuracy: 0.8052
Epoch 5, Loss: 0.3939, Accuracy: 0.8065
Epoch 6, Loss: 0.3937, Accuracy: 0.8069
Epoch 7, Loss: 0.3900, Accuracy: 0.8067
Epoch 8, Loss: 0.3934, Accuracy: 0.8074
Epoch 9, Loss: 0.3931, Accuracy: 0.8071
Epoch 10, Loss: 0.3923, Accuracy: 0.8073
Epoch 11, Loss: 0.3897, Accuracy: 0.8063
Epoch 12, Loss: 0.3889, Accuracy: 0.8069
Epoch 13, Loss: 0.3926, Accuracy: 0.8077
Epoch 14, Loss: 0.3920, Accuracy: 0.8074
Epoch 15, Loss: 0.3918, Accuracy: 0.8069
Epoch 16, Loss: 0.3914, Accuracy: 0.8077
Epoch 17, Loss: 0.3959, Accuracy: 0.8072
Epoch 18, Loss: 0.3917, Accuracy: 0.8074
Epoch 19, Loss: 0.3917, Accuracy: 0.8075
Epoch 20, Loss: 0.3923, Accuracy: 0.8082
Epoch 21, Loss: 0.3916, Accuracy: 0.8078
Epoch 22, Loss: 0.3906, Accuracy: 0.8078
Epoch 23, Loss: 0.3919, Accuracy: 0.8079
Epoch 24, Loss: 0.3914, Accuracy: 0.8077
Epoch 25, Loss: 0.3915, Accuracy: 0.8072
Epoch 26, Loss: 0.3912, Accuracy: 0.8070
Epoch 27, Loss: 0.3915, Accuracy: 0.8081
Epoch 28, Loss: 0.3908, Accuracy: 0.8073
Epoch 29, Loss: 0.3871, Accuracy: 0.8081
Epoch 30, Loss: 0.3911, Accuracy: 0.8079
Epoch 31, Loss: 0.3904, Accuracy: 0.8074
Epoch 32, Loss: 0.3909, Accuracy: 0.8083
Epoch 33, Loss: 0.3904, Accuracy: 0.8087
Epoch 34, Loss: 0.3908, Accuracy: 0.8080
Epoch 35, Loss: 0.3905, Accuracy: 0.8084
Epoch 36, Loss: 0.3905, Accuracy: 0.8081
Epoch 37, Loss: 0.3912, Accuracy: 0.8082
Epoch 38, Loss: 0.3906, Accuracy: 0.8087
Epoch 39, Loss: 0.3902, Accuracy: 0.8084
Epoch 40, Loss: 0.3906, Accuracy: 0.8084
Epoch 41, Loss: 0.3901, Accuracy: 0.8084
Epoch 42, Loss: 0.3907, Accuracy: 0.8093
Epoch 43, Loss: 0.3900, Accuracy: 0.8081
Epoch 44, Loss: 0.3904, Accuracy: 0.8082
Epoch 45, Loss: 0.3908, Accuracy: 0.8086
Epoch 46, Loss: 0.3904, Accuracy: 0.8092
Epoch 47, Loss: 0.3903, Accuracy: 0.8094
Epoch 48, Loss: 0.3902, Accuracy: 0.8091
Epoch 49, Loss: 0.3901, Accuracy: 0.8089
Epoch 50, Loss: 0.3904, Accuracy: 0.8084
Epoch 51, Loss: 0.3904, Accuracy: 0.8088
Epoch 52, Loss: 0.3903, Accuracy: 0.8083
Epoch 53, Loss: 0.3864, Accuracy: 0.8081
Epoch 54, Loss: 0.3902, Accuracy: 0.8075
Epoch 55, Loss: 0.3907, Accuracy: 0.8093
Epoch 56, Loss: 0.3866, Accuracy: 0.8086
Epoch 57, Loss: 0.3901, Accuracy: 0.8087
Epoch 58, Loss: 0.3906, Accuracy: 0.8083
Epoch 59, Loss: 0.3902, Accuracy: 0.8083
Epoch 60, Loss: 0.3905, Accuracy: 0.8091
Epoch 61, Loss: 0.3900, Accuracy: 0.8089
Epoch 62, Loss: 0.3897, Accuracy: 0.8087
Epoch 63, Loss: 0.3903, Accuracy: 0.8094
Epoch 64, Loss: 0.3859, Accuracy: 0.8085
Epoch 65, Loss: 0.3899, Accuracy: 0.8087
Epoch 66, Loss: 0.3862, Accuracy: 0.8082
Epoch 67, Loss: 0.3899, Accuracy: 0.8086
Epoch 68, Loss: 0.3859, Accuracy: 0.8094
Epoch 69, Loss: 0.3899, Accuracy: 0.8075
Epoch 70, Loss: 0.3900, Accuracy: 0.8093
Epoch 71, Loss: 0.3899, Accuracy: 0.8085
Epoch 72, Loss: 0.3899, Accuracy: 0.8092
Epoch 73, Loss: 0.3858, Accuracy: 0.8083
Epoch 74, Loss: 0.3895, Accuracy: 0.8086
Epoch 75, Loss: 0.3902, Accuracy: 0.8090
Epoch 76, Loss: 0.3861, Accuracy: 0.8083
Epoch 77, Loss: 0.3897, Accuracy: 0.8084
Epoch 78, Loss: 0.3897, Accuracy: 0.8080
Epoch 79, Loss: 0.3898, Accuracy: 0.8081
Epoch 80, Loss: 0.3901, Accuracy: 0.8081
Epoch 81, Loss: 0.3862, Accuracy: 0.8087
Epoch 82, Loss: 0.3900, Accuracy: 0.8089
Epoch 83, Loss: 0.3896, Accuracy: 0.8082
Epoch 84, Loss: 0.3901, Accuracy: 0.8078
Epoch 85, Loss: 0.3895, Accuracy: 0.8080
Epoch 86, Loss: 0.3895, Accuracy: 0.8081
Epoch 87, Loss: 0.3896, Accuracy: 0.8096
Epoch 88, Loss: 0.3898, Accuracy: 0.8084
Epoch 89, Loss: 0.3901, Accuracy: 0.8079
Epoch 90, Loss: 0.3899, Accuracy: 0.8086
Epoch 91, Loss: 0.3862, Accuracy: 0.8080
Epoch 92, Loss: 0.3899, Accuracy: 0.8086
Epoch 93, Loss: 0.3901, Accuracy: 0.8081
Epoch 94, Loss: 0.3898, Accuracy: 0.8085
Epoch 95, Loss: 0.3898, Accuracy: 0.8087
Epoch 96, Loss: 0.3901, Accuracy: 0.8073
Epoch 97, Loss: 0.3901, Accuracy: 0.8084
Epoch 98, Loss: 0.3897, Accuracy: 0.8101
Epoch 99, Loss: 0.3901, Accuracy: 0.8081
Epoch 100, Loss: 0.3861, Accuracy: 0.8086
Epoch 101, Loss: 0.3896, Accuracy: 0.8086
Epoch 102, Loss: 0.3896, Accuracy: 0.8089
Epoch 103, Loss: 0.3894, Accuracy: 0.8097
Epoch 104, Loss: 0.3895, Accuracy: 0.8088
Epoch 105, Loss: 0.3894, Accuracy: 0.8086
Epoch 106, Loss: 0.3860, Accuracy: 0.8079
Epoch 107, Loss: 0.3895, Accuracy: 0.8091
Epoch 108, Loss: 0.3896, Accuracy: 0.8082
Epoch 109, Loss: 0.3860, Accuracy: 0.8085
Epoch 110, Loss: 0.3897, Accuracy: 0.8086
Epoch 111, Loss: 0.3898, Accuracy: 0.8070
Epoch 112, Loss: 0.3897, Accuracy: 0.8082
Epoch 113, Loss: 0.3858, Accuracy: 0.8079
Epoch 114, Loss: 0.3895, Accuracy: 0.8102
Epoch 115, Loss: 0.3898, Accuracy: 0.8076
Epoch 116, Loss: 0.3896, Accuracy: 0.8089
Epoch 117, Loss: 0.3857, Accuracy: 0.8087
Epoch 118, Loss: 0.3892, Accuracy: 0.8091
Epoch 119, Loss: 0.3893, Accuracy: 0.8080
Epoch 120, Loss: 0.3855, Accuracy: 0.8088
Epoch 121, Loss: 0.3894, Accuracy: 0.8095
Epoch 122, Loss: 0.3899, Accuracy: 0.8086
